168	160	96.4	183	447	200	27.3	113	154	4.19e-06	2.84	15.6	43.5	78	315	219	2.63e-09	241	5.63e-05	0.00918	673	91	189	3.22e-09	36.2	121	1080	1050	158	70.9	622	582	196	866	271	196	6.61e-09	71.4	193	0.0783
21.7	135	203	107	366	217	2.9e-09	104	171	3.25e-08	28	20	52.7	53.5	281	1.98e-09	39.8	251	0	0	691	1.76e-08	259	2.34e-09	30.8	92.7	1260	849	243	86.3	864	754	445	787	320	176	7.32e-09	64.4	187	75.9
244	172	62.4	117	401	465	25.3	73.1	129	0.967	1.51e-08	4.85	36.8	102	283	299	49.7	284	0	0	609	243	319	128	68.9	124	615	2920	158	3.2e-09	1540	625	1020	884	399	175	7.91e-09	59.7	186	36.8
51.9	144	214	0.00361	332	329	37.5	74.2	115	44.8	0	0	56.6	12.9	245	381	114	163	0	0	466	267	266	46.6	27.2	93.1	328	2990	196	2.57e-09	876	681	2.74e-09	764	248	178	7.42e-09	63.6	181	120
189	135	143	45	10.1	303	65.2	92.1	58.7	126	1.04e-08	7.01	63.5	6.1e-08	261	78.8	1.53e-08	41.4	0	0	650	174	233	119	43.5	112	502	2810	206	147	1780	557	634	698	154	177	6.58e-09	71.7	170	162
245	140	58.6	144	344	378	3.2e-09	94.5	113	81.8	2.67	2.75e-08	43.5	67.7	122	184	50.7	343	0	0	758	161	274	159	25.3	114	737	2050	219	443	1410	289	903	673	251	182	7.13e-09	66.2	182	75.5
4.51e-09	144	60.9	31.8	3.79e-09	219	7.29e-09	41.4	134	7.91	0	0	64.8	0.674	88.7	6.27e-09	2.11e-09	300	0	0	53.6	350	244	27.6	33.8	116	634	2.92e-09	225	2.24e-09	350	378	7.05e-09	297	1.5e-09	238	6.6e-09	71.5	217	4.22e-09
5.81e-09	112	17.6	16.6	4.84	94.4	8.02e-08	3.77	127	2.09e-05	0	0	58	46.5	55.7	9.98e-09	2.76e-09	229	0	0	38.7	216	207	2.93e-09	18.1	106	579	9.9	202	2.5e-09	367	259	6.54e-09	320	1.41e-09	254	8.55e-09	55.2	204	4.49e-09
160	154	51.7	45.1	143	86.8	4.63	137	152	0.00767	0	0	69.6	1.18e-09	17.9	0.157	1.3e-08	48.8	0	0	283	198	281	2.17e-09	53.9	69.8	1280	10.6	243	2.08e-09	324	678	34.1	438	62.8	260	7.13e-09	66.2	191	4.8e-09
288	154	15	163	312	123	41.3	159	96.8	23.8	6.88e-09	10.6	39.9	61.4	320	275	119	214	0.00113	0.00114	632	89.1	213	145	42.8	87.1	1430	901	186	207	910	385	377	841	386	134	7.32e-09	64.5	184	217
221	128	126	57.7	426	327	0.36	33	156	9.42	0.177	0.166	64	0.00517	166	221	13	172	0	0	594	113	209	2.91e-09	44.8	67.8	2.59	3320	198	2.55e-09	325	521	628	358	159	196	7e-09	67.4	165	70.6
122	129	247	94.9	449	44.1	7.83	39.2	144	10.4	63.2	37.4	61.5	16.9	169	147	1.86e-09	339	0.000365	0.000369	735	3.96e-08	206	64.9	35.6	115	492	2630	195	2.59e-09	1190	352	88.1	791	132	236	6.92e-09	68.2	195	4.69e-09
187	163	199	38.4	234	345	10.8	103	108	101	0	0	33	112	244	56.2	104	232	0	0	634	126	355	29.6	37.6	98.7	940	2310	238	9.94	3050	9.54e-10	200	771	104	235	7.22e-09	65.4	214	77.9
280	154	252	52.3	463	407	79.1	115	162	1.15e-09	0.569	2.93	49.2	51.2	122	649	357	188	0	0	530	282	282	65.5	6.69	68.5	495	2930	248	220	2260	519	1250	636	417	155	8.88e-09	53.2	187	193
